ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA, LAT, LONG, DATE, COUNCIL
T20120003511,2012-02-14,07:00:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,249744,1,0,1,0,0,1,1,2,T intersection,2,90,Arterial Highway,144.219246,-36.752565,20120214,BENDIGO
T20120003603,2012-02-15,09:50:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,249619,1,0,0,1,0,1,1,5,Not at intersection,3,60,Local Road,144.141537,-36.736082,20120215,BENDIGO
T20120003902,2012-02-17,17:10:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,249820,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Highway,144.251678,-36.778348,20120217,BENDIGO
T20120003964,2012-02-18,21:30:00,8,No collision and no object struck,7,Saturday,170,OFF CARRIAGEWAY TO LEFT,5,249687,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road,144.186071,-36.760623,20120218,BENDIGO
T20120005454,2012-02-26,15:00:00,6,Vehicle overturned (no collision),1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,250246,1,0,1,0,0,1,2,2,T intersection,2,60,Local Road,144.244066,-36.679004,20120226,BENDIGO
T20120004804,2012-02-27,23:20:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,59778,2,0,0,1,3,4,1,1,Cross intersection,3,50,Local Road,144.268332,-36.771082,20120227,BENDIGO
T20120004693,2012-02-27,08:48:00,2,Struck Pedestrian,2,Monday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,59715,1,0,1,0,2,3,1,2,T intersection,2,50,Arterial Other,144.284495,-36.760618,20120227,BENDIGO
T20120004748,2012-02-27,15:05:00,8,No collision and no object struck,2,Monday,170,OFF CARRIAGEWAY TO LEFT,1,250844,2,0,1,0,1,2,1,2,T intersection,2,100,Local Road,144.49754,-36.793162,20120227,BENDIGO
T20120004873,2012-02-28,14:21:00,2,Struck Pedestrian,3,Tuesday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,49321,1,0,1,1,0,2,2,1,Cross intersection,2,60,Arterial Other,144.305216,-36.773247,20120228,BENDIGO
T20120005078,2012-02-29,18:10:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,51696,2,0,0,1,2,3,2,1,Cross intersection,3,60,Arterial Highway,144.251894,-36.77815,20120229,BENDIGO
T20120011771,2012-03-01,08:35:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),9,51620,2,0,0,1,1,2,2,1,Cross intersection,3,999,Arterial Other,144.285571,-36.759831,20120301,BENDIGO
T20120005018,2012-03-01,08:40:00,1,Collision with vehicle,5,Thursday,132,RIGHT REAR.,1,51615,2,0,0,2,1,3,1,2,T intersection,3,60,Arterial Highway,144.256016,-36.758636,20120301,BENDIGO
T20120005729,2012-03-03,18:30:00,4,Collision with a fixed object,7,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,2,250322,1,0,0,1,1,2,2,5,Not at intersection,3,999,Local Road,144.404702,-36.689001,20120303,BENDIGO
T20120005431,2012-03-05,17:20:00,1,Collision with vehicle,2,Monday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,250568,2,0,0,1,1,2,2,5,Not at intersection,3,50,Local Road,144.284947,-36.78547,20120305,BENDIGO
T20120005525,2012-03-06,17:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,51507,2,0,1,0,1,2,1,2,T intersection,2,70,,144.31326,-36.71775,20120306,BENDIGO
T20120005601,2012-03-07,16:10:00,1,Collision with vehicle,4,Wednesday,121,RIGHT THROUGH,1,51545,3,0,0,2,2,4,1,2,T intersection,3,50,Arterial Highway,144.298252,-36.740041,20120307,BENDIGO
T20120005689,2012-03-08,17:15:00,2,Struck Pedestrian,5,Thursday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,250312,1,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,144.272767,-36.765507,20120308,BENDIGO
T20120022990,2012-03-09,08:45:00,1,Collision with vehicle,6,Friday,117,LEFT/RIGHT FAR (INTERSECTIONS ONLY),1,49318,2,0,0,1,2,3,2,4,Multiple intersection,3,60,Arterial Highway,144.287376,-36.758373,20120309,BENDIGO
T20120005792,2012-03-09,16:30:00,1,Collision with vehicle,6,Friday,132,RIGHT REAR.,1,59475,2,0,3,1,2,6,1,2,T intersection,2,60,Arterial Other,144.242656,-36.70825,20120309,BENDIGO
T20120005843,2012-03-10,08:56:00,1,Collision with vehicle,7,Saturday,116,LEFT NEAR (INTERSECTIONS ONLY),1,51922,2,0,1,0,1,2,1,1,Cross intersection,2,60,Arterial Other,144.346269,-36.801,20120310,BENDIGO
T20120005982,2012-03-11,14:10:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,251202,2,1,0,0,1,2,1,5,Not at intersection,1,100,Arterial Highway,144.157736,-36.815199,20120311,BENDIGO
T20120006218,2012-03-11,20:00:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,250498,1,0,0,1,0,1,2,5,Not at intersection,3,60,,144.427851,-36.813001,20120311,BENDIGO
T20120006093,2012-03-11,13:15:00,8,No collision and no object struck,1,Sunday,170,OFF CARRIAGEWAY TO LEFT,1,250326,1,0,0,1,0,1,1,5,Not at intersection,3,100,,144.181629,-36.826809,20120311,BENDIGO
T20120006097,2012-03-13,08:25:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,250328,2,0,0,1,1,2,1,5,Not at intersection,3,50,,144.276978,-36.760388,20120313,BENDIGO
T20120006211,2012-03-14,13:00:00,1,Collision with vehicle,4,Wednesday,132,RIGHT REAR.,1,51709,2,0,1,1,0,2,1,2,T intersection,2,60,Arterial Highway,144.247599,-36.783389,20120314,BENDIGO
T20120006722,2012-03-15,15:00:00,3,Struck animal,5,Thursday,167,STRUCK ANIMAL,1,250525,1,0,1,0,0,1,2,5,Not at intersection,2,50,,144.519086,-36.62333,20120315,BENDIGO
T20120006418,2012-03-16,17:15:00,1,Collision with vehicle,6,Friday,133,LANE SIDE SWIPE (VEHICLES IN PARALLEL LANES),1,250471,2,0,0,1,3,4,1,5,Not at intersection,3,50,Arterial Highway,144.282495,-36.756765,20120316,BENDIGO
T20120006444,2012-03-16,22:46:00,2,Struck Pedestrian,6,Friday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,35676,1,0,1,1,4,6,1,1,Cross intersection,2,50,Arterial Highway,144.280104,-36.758517,20120316,BENDIGO
T20120017057,2012-03-17,12:00:00,5,collision with some other object,7,Saturday,166,STRUCK OBJECT ON CARRIAGEWAY,1,253040,1,0,0,1,0,1,2,5,Not at intersection,3,888,,144.210946,-36.800839,20120317,BENDIGO
T20120006448,2012-03-17,00:05:00,4,Collision with a fixed object,7,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,4,250492,1,0,1,1,0,2,1,5,Not at intersection,2,100,,144.301615,-36.803851,20120317,BENDIGO
T20120006470,2012-03-17,10:10:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,1,30031,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway,144.291933,-36.757373,20120317,BENDIGO
T20120006844,2012-03-19,15:15:00,1,Collision with vehicle,2,Monday,140,U TURN,1,250561,2,0,2,0,1,3,1,5,Not at intersection,2,100,Arterial Highway,144.551179,-36.58671,20120319,BENDIGO
T20120006960,2012-03-22,21:50:00,6,Vehicle overturned (no collision),5,Thursday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,59500,1,0,0,1,0,1,1,2,T intersection,3,50,Local Road,144.246164,-36.721416,20120322,BENDIGO
T20120006912,2012-03-22,11:55:00,1,Collision with vehicle,5,Thursday,140,U TURN,1,250592,2,0,0,1,1,2,1,5,Not at intersection,3,50,Local Road,144.293856,-36.76151,20120322,BENDIGO
T20120007144,2012-03-25,12:00:00,1,Collision with vehicle,1,Sunday,139,OTHER SAME DIRECTION-MANOUEVRES NOT INCLUDED IN DCAs 130-137,1,250769,2,0,0,1,3,4,1,1,Cross intersection,3,80,Local Road,144.37939,-36.796929,20120325,BENDIGO
T20120007416,2012-03-28,14:27:00,2,Struck Pedestrian,4,Wednesday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,169901,1,0,1,0,2,3,1,5,Not at intersection,2,50,Local Road,144.259129,-36.772061,20120328,BENDIGO
T20120007442,2012-03-29,07:10:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),2,250888,2,0,1,0,1,2,1,1,Cross intersection,2,80,Arterial Highway,144.340568,-36.658811,20120329,BENDIGO
T20120007630,2012-03-31,09:20:00,1,Collision with vehicle,7,Saturday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,51881,2,0,0,1,1,2,1,2,T intersection,3,90,Arterial Highway,144.319315,-36.688796,20120331,BENDIGO
T20120007633,2012-03-31,10:05:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,51881,2,0,1,1,3,5,1,2,T intersection,2,90,Arterial Highway,144.319315,-36.688796,20120331,BENDIGO
T20120007887,2012-04-02,19:30:00,6,Vehicle overturned (no collision),2,Monday,182,OFF CARRIAGEWAY ON LEFT BEND,3,251009,1,0,0,1,0,1,1,5,Not at intersection,3,60,Arterial Other,144.69439,-36.917476,20120402,BENDIGO
T20120007780,2012-04-02,09:30:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,59439,1,0,1,0,0,1,1,1,Cross intersection,2,100,Arterial Highway,144.429348,-36.643154,20120402,BENDIGO
T20120007805,2012-04-02,14:30:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,51626,3,0,3,0,3,6,1,2,T intersection,2,60,Local Road,144.263182,-36.760969,20120402,BENDIGO
T20120010646,2012-04-03,17:00:00,1,Collision with vehicle,3,Tuesday,132,RIGHT REAR.,1,251720,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,144.294259,-36.778356,20120403,BENDIGO
T20120008032,2012-04-04,22:00:00,6,Vehicle overturned (no collision),4,Wednesday,180,OFF CARRIAGEWAY ON RIGHT BEND,5,251694,1,0,1,0,0,1,1,2,T intersection,2,100,Arterial Highway,144.200545,-36.874537,20120404,BENDIGO
T20120012213,2012-04-07,11:30:00,1,Collision with vehicle,7,Saturday,132,RIGHT REAR.,1,51653,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,144.29227,-36.765774,20120407,BENDIGO
T20120008264,2012-04-07,17:50:00,1,Collision with vehicle,7,Saturday,130,REAR END(VEHICLES IN SAME LANE),2,251181,2,0,0,1,5,6,1,5,Not at intersection,3,50,Arterial Highway,144.244233,-36.7954,20120407,BENDIGO
T20120008314,2012-04-08,17:30:00,8,No collision and no object struck,1,Sunday,170,OFF CARRIAGEWAY TO LEFT,1,251220,1,0,0,1,0,1,1,5,Not at intersection,3,100,,144.3224,-36.84829,20120408,BENDIGO
T20120008461,2012-04-09,15:45:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,251244,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.199523,-36.61376,20120409,BENDIGO
T20120008441,2012-04-10,13:15:00,6,Vehicle overturned (no collision),3,Tuesday,170,OFF CARRIAGEWAY TO LEFT,1,251234,1,0,1,1,0,2,1,5,Not at intersection,2,80,,144.34391,-36.774782,20120410,BENDIGO
T20120008690,2012-04-13,16:03:00,1,Collision with vehicle,6,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,251082,3,0,0,1,0,1,1,5,Not at intersection,3,60,Local Road,144.23486,-36.78958,20120413,BENDIGO
T20120008710,2012-04-13,21:15:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,251160,1,0,0,1,0,1,1,5,Not at intersection,3,50,Local Road,144.240791,-36.783649,20120413,BENDIGO
T20130009082,2012-04-13,16:45:00,1,Collision with vehicle,6,Friday,132,RIGHT REAR.,1,273078,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Other,144.288339,-36.731725,20120413,BENDIGO
T20120010980,2012-04-14,11:30:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,59740,1,0,0,1,0,1,2,2,T intersection,3,999,Local Road,144.270026,-36.765472,20120414,BENDIGO
T20120009529,2012-04-14,12:30:00,5,collision with some other object,7,Saturday,166,STRUCK OBJECT ON CARRIAGEWAY,1,251381,1,0,1,0,0,1,2,5,Not at intersection,2,110,,144.212833,-36.88172,20120414,BENDIGO
T20120008960,2012-04-16,19:10:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,59607,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,144.277839,-36.746485,20120416,BENDIGO
T20120008923,2012-04-16,09:08:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,19402,2,0,4,0,0,4,1,1,Cross intersection,2,100,,144.563723,-36.591006,20120416,BENDIGO
T20120008958,2012-04-16,16:10:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,51593,2,0,0,2,3,5,1,1,Cross intersection,3,60,Arterial Other,144.274076,-36.755246,20120416,BENDIGO
T20120009042,2012-04-17,17:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,251255,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Other,144.227455,-36.798332,20120417,BENDIGO
T20120009045,2012-04-17,16:45:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,51649,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,144.265,-36.765143,20120417,BENDIGO
T20120009007,2012-04-17,12:47:00,6,Vehicle overturned (no collision),3,Tuesday,180,OFF CARRIAGEWAY ON RIGHT BEND,1,251233,1,0,0,1,0,1,1,5,Not at intersection,3,100,Local Road,144.745461,-36.950719,20120417,BENDIGO
T20120009178,2012-04-18,21:55:00,4,Collision with a fixed object,4,Wednesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,19517,1,0,1,0,0,1,1,2,T intersection,2,50,Arterial Other,144.25283,-36.751469,20120418,BENDIGO
T20120009190,2012-04-19,09:15:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,1,57308,2,0,0,1,2,3,1,2,T intersection,3,60,Local Road,144.290099,-36.774405,20120419,BENDIGO
T20120009366,2012-04-20,22:15:00,4,Collision with a fixed object,6,Friday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,251318,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.156057,-36.837099,20120420,BENDIGO
T20120009331,2012-04-20,15:45:00,1,Collision with vehicle,6,Friday,132,RIGHT REAR.,1,251301,2,0,0,2,0,2,1,5,Not at intersection,3,70,,144.313936,-36.715019,20120420,BENDIGO
T20120009430,2012-04-21,13:45:00,1,Collision with vehicle,7,Saturday,121,RIGHT THROUGH,1,19668,2,0,0,3,2,5,1,2,T intersection,3,80,Arterial Highway,144.341342,-36.658163,20120421,BENDIGO
T20120009682,2012-04-22,14:30:00,8,No collision and no object struck,1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,251518,1,0,0,1,0,1,2,5,Not at intersection,3,50,,144.259373,-36.736623,20120422,BENDIGO
T20120009583,2012-04-23,12:30:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,19418,2,0,0,2,2,4,1,1,Cross intersection,3,100,Arterial Highway,144.132975,-36.735691,20120423,BENDIGO
T20120011590,2012-04-24,00:30:00,1,Collision with vehicle,3,Tuesday,135,LANE CHANGE LEFT (NOT OVERTAKING),6,51610,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Highway,144.298155,-36.758555,20120424,BENDIGO
T20120009795,2012-04-25,05:20:00,3,Struck animal,4,Wednesday,167,STRUCK ANIMAL,5,251602,1,0,0,1,0,1,1,5,Not at intersection,3,100,,144.178702,-36.809983,20120425,BENDIGO
T20120009967,2012-04-27,18:20:00,1,Collision with vehicle,6,Friday,115,RIGHT/LEFT FAR (INTERSECTIONS ONLY),3,19517,2,0,1,2,1,4,1,2,T intersection,2,50,Arterial Other,144.25283,-36.751469,20120427,BENDIGO
T20120010257,2012-05-01,16:20:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,251740,4,0,0,2,2,4,1,5,Not at intersection,3,50,Arterial Highway,144.28902,-36.757999,20120501,BENDIGO
T20120013125,2012-05-02,14:00:00,8,No collision and no object struck,3,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,277391,1,0,0,1,0,1,2,5,Not at intersection,3,100,,144.498138,-36.697808,20120502,BENDIGO
T20120010350,2012-05-02,16:40:00,1,Collision with vehicle,4,Wednesday,140,U TURN,1,51626,2,0,1,1,0,2,1,1,Cross intersection,2,50,Local Road,144.263182,-36.760969,20120502,BENDIGO
T20120010483,2012-05-02,10:30:00,6,Vehicle overturned (no collision),4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,44642,1,0,0,1,0,1,2,4,Multiple intersection,3,50,Local Road,144.281972,-36.76016,20120502,BENDIGO
T20120010462,2012-05-03,08:00:00,1,Collision with vehicle,5,Thursday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,59692,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,144.296603,-36.758197,20120503,BENDIGO
T20130011471,2012-05-10,13:00:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,260811,1,0,0,3,0,3,1,2,T intersection,3,50,Local Road,144.263168,-36.774862,20120510,BENDIGO
T20120011143,2012-05-12,08:05:00,2,Struck Pedestrian,7,Saturday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,51682,1,0,0,1,2,3,1,2,T intersection,3,60,Local Road,144.290431,-36.773525,20120512,BENDIGO
T20120011159,2012-05-12,12:50:00,1,Collision with vehicle,7,Saturday,154,PULLING OUT -REAR END,1,251853,3,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,144.281218,-36.760688,20120512,BENDIGO
T20120011413,2012-05-15,18:00:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,3,51570,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,144.290752,-36.749779,20120515,BENDIGO
T20120011348,2012-05-15,06:10:00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,49318,2,0,0,1,2,3,1,4,Multiple intersection,3,60,Arterial Highway,144.287376,-36.758373,20120515,BENDIGO
T20120011800,2012-05-20,10:50:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,57995,2,0,1,1,0,2,1,1,Cross intersection,2,100,Local Road,144.388881,-36.842243,20120520,BENDIGO
T20120012038,2012-05-20,12:15:00,7,Fall from or in moving vehicle,1,Sunday,190,FELL IN/FROM VEHICLE,1,251999,1,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Other,144.284624,-36.760524,20120520,BENDIGO
