ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA
T20210000071,2021-01-01,05:30:00,4,Collision with a fixed object,6,Friday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,672007,1,0,2,0,1,3,1,5,Not at intersection,2,110,Freeway
T20210000027,2021-01-01,11:04:00,1,Collision with vehicle,6,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,676327,2,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20210000076,2021-01-01,04:30:00,5,collision with some other object,6,Friday,166,STRUCK OBJECT ON CARRIAGEWAY,5,677753,1,0,0,1,0,1,1,5,Not at intersection,3,080,
T20210000024,2021-01-01,11:45:00,4,Collision with a fixed object,5,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,678043,1,0,0,1,0,1,1,5,Not at intersection,3,080,
T20210000023,2021-01-01,07:06:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,45638,2,0,0,2,0,2,1,1,Cross intersection,3,060,Arterial Other
T20210000077,2021-01-01,23:19:00,2,Struck Pedestrian,6,Friday,106,VEH STRIKES PED ON FOOTPATH/MEDIAN/TRAFFIC ISLAND.,3,690963,1,0,1,0,0,1,1,5,Not at intersection,2,040,Local Road
T20210000078,2021-01-01,23:58:00,8,No collision and no object struck,6,Friday,172,OFF CARRIAGEWAY TO RIGHT,3,38563,1,0,1,0,0,1,1,1,Cross intersection,2,060,Local Road
T20210000099,2021-01-02,09:44:00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,675138,2,0,1,0,1,2,1,1,Cross intersection,2,050,Local Road
T20210001266,2021-01-02,15:20:00,6,Vehicle overturned (no collision),7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,673239,1,0,0,1,0,1,2,1,Cross intersection,3,999,
T20210000887,2021-01-02,14:30:00,1,Collision with vehicle,6,Saturday,131,LEFT REAR,9,685303,2,0,0,1,1,2,2,1,Cross intersection,3,999,Arterial Other
T20210000265,2021-01-02,16:30:00,1,Collision with vehicle,7,Saturday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,675921,2,0,0,3,1,4,1,2,T intersection,3,060,Local Road
T20210000098,2021-01-02,11:38:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,729964,1,0,1,0,4,5,1,5,Not at intersection,2,050,Local Road
T20210000093,2021-01-02,13:15:00,1,Collision with vehicle,7,Saturday,132,RIGHT REAR.,1,729516,2,0,2,0,5,7,1,2,T intersection,2,100,Arterial Other
T20210000239,2021-01-02,11:55:00,1,Collision with vehicle,7,Saturday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,9,682619,2,0,0,1,0,1,2,5,Not at intersection,3,888,Arterial Highway
T20210002287,2021-01-02,18:00:00,4,Collision with a fixed object,7,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,674865,1,0,0,1,1,2,1,5,Not at intersection,3,100,Local Road
T20210000107,2021-01-02,16:25:00,4,Collision with a fixed object,6,Saturday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,675829,1,0,1,0,0,1,1,5,Not at intersection,2,060,Arterial Other
T20210000085,2021-01-02,08:50:00,1,Collision with vehicle,6,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,691934,3,0,0,1,2,3,1,5,Not at intersection,3,080,Local Road
T20210000102,2021-01-02,15:03:00,1,Collision with vehicle,6,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,324391,2,0,1,0,1,2,1,1,Cross intersection,2,070,Arterial Other
T20210000128,2021-01-02,22:11:00,1,Collision with vehicle,6,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,29811,2,0,0,3,0,3,1,1,Cross intersection,3,070,Arterial Other
T20210000133,2021-01-02,19:45:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,671783,1,0,3,0,0,3,1,5,Not at intersection,2,100,
T20210000091,2021-01-02,10:40:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,671942,1,0,0,1,0,1,1,5,Not at intersection,3,100,Freeway
T20210000457,2021-01-02,14:00:00,6,Vehicle overturned (no collision),6,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,677222,1,0,0,1,0,1,2,5,Not at intersection,3,100,Local Road
T20210000100,2021-01-02,11:15:00,1,Collision with vehicle,7,Saturday,120,HEAD ON (NOT OVERTAKING),1,678484,3,0,1,0,10,11,1,5,Not at intersection,2,100,Arterial Highway
T20210000123,2021-01-02,18:10:00,1,Collision with vehicle,6,Saturday,131,LEFT REAR,1,672143,2,0,0,1,1,2,1,5,Not at intersection,3,060,Local Road
T20210000106,2021-01-02,14:00:00,4,Collision with a fixed object,6,Saturday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,678679,1,0,0,2,1,3,1,5,Not at intersection,3,060,Local Road
T20210000084,2021-01-02,08:00:00,5,collision with some other object,7,Saturday,166,STRUCK OBJECT ON CARRIAGEWAY,1,671855,3,0,0,2,0,2,1,5,Not at intersection,3,080,Arterial Highway
T20210012826,2021-01-02,13:00:00,5,collision with some other object,7,Saturday,166,STRUCK OBJECT ON CARRIAGEWAY,1,685347,1,0,0,1,0,1,2,5,Not at intersection,3,100,Arterial Highway
T20210000121,2021-01-02,18:45:00,1,Collision with vehicle,7,Saturday,111,RIGHT FAR (INTERSECTIONS ONLY),1,46918,2,0,1,2,0,3,1,2,T intersection,2,080,Local Road
T20210000117,2021-01-02,15:10:00,1,Collision with vehicle,6,Saturday,121,RIGHT THROUGH,1,51076,2,0,0,1,1,2,1,1,Cross intersection,3,060,Arterial Highway
T20210000344,2021-01-02,11:25:00,6,Vehicle overturned (no collision),7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,672151,1,0,0,1,0,1,2,5,Not at intersection,3,040,Arterial Highway
T20210000113,2021-01-02,17:13:00,6,Vehicle overturned (no collision),7,Saturday,182,OFF CARRIAGEWAY ON LEFT BEND,1,780891,1,0,0,1,0,1,1,5,Not at intersection,3,080,Arterial Other
T20210000125,2021-01-02,19:55:00,1,Collision with vehicle,6,Saturday,130,REAR END(VEHICLES IN SAME LANE),1,671858,2,0,0,1,2,3,1,4,Multiple intersection,3,999,Freeway
T20210000169,2021-01-02,13:00:00,3,Struck animal,6,Saturday,167,STRUCK ANIMAL,1,672144,1,0,0,1,0,1,2,3,Y intersection,3,100,Local Road
T20210000141,2021-01-02,12:08:00,1,Collision with vehicle,7,Saturday,135,LANE CHANGE LEFT (NOT OVERTAKING),1,671859,2,0,1,0,1,2,1,5,Not at intersection,2,100,Freeway
T20210000081,2021-01-02,05:14:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,672232,1,0,0,1,0,1,1,5,Not at intersection,3,080,Arterial Highway
T20210000433,2021-01-03,12:35:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH,1,352248,2,0,0,2,2,4,2,1,Cross intersection,3,080,Arterial Other
T20210000209,2021-01-03,10:20:00,1,Collision with vehicle,0,Sunday,131,LEFT REAR,1,680561,2,0,0,1,1,2,2,2,T intersection,3,060,Arterial Other
T20210000150,2021-01-03,10:00:00,2,Struck Pedestrian,1,Sunday,102,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT,1,42920,1,0,1,0,1,2,1,2,T intersection,2,040,Local Road
T20210000166,2021-01-03,15:35:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,675665,1,0,0,1,0,1,1,5,Not at intersection,3,040,Local Road
T20210000163,2021-01-03,13:50:00,4,Collision with a fixed object,0,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,684265,1,0,0,2,0,2,1,5,Not at intersection,3,100,Local Road
T20210000160,2021-01-03,12:40:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,692254,3,0,0,1,2,3,1,5,Not at intersection,3,080,Arterial Highway
T20210000194,2021-01-03,14:05:00,1,Collision with vehicle,0,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,45919,2,0,0,1,1,2,1,2,T intersection,3,060,Local Road
T20210002015,2021-01-03,19:55:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,61203,2,0,0,3,2,5,1,1,Cross intersection,3,060,Arterial Other
T20210000191,2021-01-03,23:55:00,4,Collision with a fixed object,0,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,679498,1,0,0,1,0,1,1,5,Not at intersection,3,100,
T20210000221,2021-01-03,11:35:00,1,Collision with vehicle,0,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,729520,2,0,0,1,1,2,2,5,Not at intersection,3,080,Arterial Highway
T20210000159,2021-01-03,09:38:00,1,Collision with vehicle,1,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,2704,2,0,1,0,1,2,1,5,Not at intersection,2,060,Arterial Other
T20210000190,2021-01-03,20:50:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,674951,1,1,0,0,0,1,1,5,Not at intersection,1,100,
T20210000156,2021-01-03,13:00:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH,1,44233,2,0,1,2,0,3,1,2,T intersection,2,050,Arterial Other
T20210000154,2021-01-03,11:43:00,1,Collision with vehicle,1,Sunday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,20793,2,0,1,1,0,2,1,4,Multiple intersection,2,060,Arterial Other
T20210000189,2021-01-03,22:30:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,679912,1,0,0,1,0,1,1,5,Not at intersection,3,080,Arterial Highway
T20210000188,2021-01-03,19:58:00,6,Vehicle overturned (no collision),1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,672468,1,1,0,0,0,1,1,5,Not at intersection,1,100,Local Road
T20210000187,2021-01-03,22:26:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,5,706510,1,0,6,0,0,6,1,2,T intersection,2,050,Local Road
T20210001234,2021-01-03,13:30:00,6,Vehicle overturned (no collision),1,Sunday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,673153,1,0,0,1,0,1,2,5,Not at intersection,3,888,Local Road
T20210000152,2021-01-03,11:50:00,1,Collision with vehicle,0,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,672816,2,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20210000146,2021-01-03,09:50:00,1,Collision with vehicle,1,Sunday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,49670,2,0,0,1,2,3,1,2,T intersection,3,040,Local Road
T20210000139,2021-01-03,01:51:00,1,Collision with vehicle,0,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,3,773516,2,0,1,0,0,1,1,5,Not at intersection,2,060,Arterial Other
T20210000184,2021-01-03,22:30:00,1,Collision with vehicle,0,Sunday,124,RIGHT/RIGHT BOTH VEHs FROM OPPOSITE DIRECTIONS TURNING RIGHT,6,41722,2,0,0,1,1,2,2,2,T intersection,3,060,Local Road
T20210000182,2021-01-03,21:00:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,51776,2,0,1,0,1,2,1,1,Cross intersection,2,050,Local Road
T20210000181,2021-01-03,16:55:00,1,Collision with vehicle,1,Sunday,131,LEFT REAR,1,628,2,0,1,0,1,2,1,1,Cross intersection,2,080,Arterial Highway
T20210000178,2021-01-03,19:57:00,8,No collision and no object struck,1,Sunday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,672622,1,0,1,0,0,1,1,5,Not at intersection,2,050,Local Road
T20210000185,2021-01-03,21:56:00,1,Collision with vehicle,1,Sunday,111,RIGHT FAR (INTERSECTIONS ONLY),3,729966,2,0,0,1,3,4,1,2,T intersection,3,050,Local Road
T20210000173,2021-01-03,14:40:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,674275,1,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Other
T20210000172,2021-01-03,16:08:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,674201,1,0,2,1,0,3,1,5,Not at intersection,2,100,
T20210000170,2021-01-03,14:45:00,1,Collision with vehicle,1,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,29708,2,0,3,1,1,5,1,1,Cross intersection,2,060,
T20210003918,2021-01-03,23:00:00,3,Struck animal,0,Sunday,167,STRUCK ANIMAL,9,676247,1,0,0,1,0,1,2,5,Not at intersection,3,080,Freeway
T20210000196,2021-01-03,20:50:00,6,Vehicle overturned (no collision),1,Sunday,170,OFF CARRIAGEWAY TO LEFT,5,672008,1,0,1,0,0,1,1,5,Not at intersection,2,080,Arterial Other
T20210001167,2021-01-03,22:10:00,4,Collision with a fixed object,0,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,3,673060,1,0,0,1,0,1,1,5,Not at intersection,3,050,Local Road
T20210000175,2021-01-03,16:15:00,1,Collision with vehicle,0,Sunday,162,ACCIDENT OR BROKEN DOWN,1,729518,5,0,1,0,4,5,1,5,Not at intersection,2,100,Freeway
T20210000199,2021-01-04,07:45:00,1,Collision with vehicle,2,Monday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,674532,2,0,1,0,0,1,1,5,Not at intersection,2,060,Local Road
T20210000200,2021-01-04,06:00:00,4,Collision with a fixed object,2,Monday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,676250,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20210000207,2021-01-04,09:00:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,672145,3,0,1,1,4,6,1,5,Not at intersection,2,080,Local Road
T20210000212,2021-01-04,12:10:00,6,Vehicle overturned (no collision),2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,672062,1,0,0,1,0,1,1,5,Not at intersection,3,050,
T20210000214,2021-01-04,11:55:00,1,Collision with vehicle,2,Monday,152,PULLING OUT (OVERTAKING),1,672146,3,0,0,2,2,4,1,5,Not at intersection,3,050,Local Road
T20210000679,2021-01-04,20:30:00,7,Fall from or in moving vehicle,2,Monday,190,FELL IN/FROM VEHICLE,2,674573,1,0,1,0,1,2,2,5,Not at intersection,2,100,Arterial Highway
T20210001164,2021-01-04,10:30:00,6,Vehicle overturned (no collision),2,Monday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,673059,1,0,0,1,0,1,2,5,Not at intersection,3,888,
T20210001168,2021-01-04,15:30:00,3,Struck animal,2,Monday,167,STRUCK ANIMAL,1,673146,1,0,0,1,0,1,2,5,Not at intersection,3,100,Arterial Other
T20210002720,2021-01-04,15:00:00,4,Collision with a fixed object,2,Monday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,674874,1,0,0,1,0,1,1,4,Multiple intersection,3,060,Freeway
T20210002324,2021-01-04,13:30:00,1,Collision with vehicle,1,Monday,130,REAR END(VEHICLES IN SAME LANE),1,29701,2,0,0,1,1,2,2,1,Cross intersection,3,999,Arterial Other
T20210002415,2021-01-04,16:30:00,6,Vehicle overturned (no collision),2,Monday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,676047,1,0,1,0,0,1,2,1,Cross intersection,2,050,
T20210000217,2021-01-04,10:20:00,1,Collision with vehicle,2,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,672147,2,0,0,2,4,6,1,2,T intersection,3,050,Local Road
T20210000222,2021-01-04,12:00:00,1,Collision with vehicle,2,Monday,120,HEAD ON (NOT OVERTAKING),1,676295,2,0,1,1,1,3,1,5,Not at intersection,2,050,Local Road
T20210000225,2021-01-04,13:20:00,1,Collision with vehicle,2,Monday,132,RIGHT REAR.,1,674933,3,0,0,2,3,5,1,1,Cross intersection,3,060,Arterial Highway
T20210000230,2021-01-04,15:00:00,6,Vehicle overturned (no collision),2,Monday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,671947,1,0,0,1,0,1,2,5,Not at intersection,3,100,Arterial Other
T20210000233,2021-01-04,13:10:00,8,No collision and no object struck,2,Monday,170,OFF CARRIAGEWAY TO LEFT,1,690964,1,0,1,0,0,1,1,5,Not at intersection,2,100,
T20210000237,2021-01-04,16:50:00,1,Collision with vehicle,1,Monday,134,LANE CHANGE RIGHT (NOT OVERTAKING),1,674571,2,0,0,1,0,1,1,5,Not at intersection,3,110,Freeway
T20210000240,2021-01-04,13:04:00,1,Collision with vehicle,1,Monday,111,RIGHT FAR (INTERSECTIONS ONLY),1,36463,2,0,0,1,1,2,1,2,T intersection,3,040,Local Road
T20210000241,2021-01-04,13:00:00,1,Collision with vehicle,2,Monday,111,RIGHT FAR (INTERSECTIONS ONLY),1,36463,2,0,0,1,1,2,2,2,T intersection,3,050,Local Road
T20210000243,2021-01-04,16:15:00,4,Collision with a fixed object,2,Monday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,678540,1,0,1,0,0,1,1,5,Not at intersection,2,100,Local Road
T20210000247,2021-01-04,16:06:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,729954,3,0,1,1,2,4,1,2,T intersection,2,080,Arterial Other
T20210000248,2021-01-04,20:00:00,6,Vehicle overturned (no collision),2,Monday,172,OFF CARRIAGEWAY TO RIGHT,2,675096,1,0,0,1,0,1,1,5,Not at intersection,3,999,
T20210000252,2021-01-04,22:00:00,4,Collision with a fixed object,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,3,278548,1,0,1,0,0,1,1,4,Multiple intersection,2,060,Freeway
T20210000253,2021-01-04,20:40:00,4,Collision with a fixed object,2,Monday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,671893,1,1,0,0,0,1,1,5,Not at intersection,1,060,Arterial Other
T20210000278,2021-01-04,22:00:00,1,Collision with vehicle,2,Monday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,673841,2,0,1,2,1,4,1,5,Not at intersection,2,080,Local Road
T20210000877,2021-01-04,15:30:00,1,Collision with vehicle,1,Monday,130,REAR END(VEHICLES IN SAME LANE),1,45303,2,0,0,1,0,1,2,1,Cross intersection,3,060,Arterial Other
T20210000295,2021-01-04,12:05:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,677826,2,0,0,1,1,2,2,2,T intersection,3,999,Arterial Other
T20210000306,2021-01-04,08:15:00,1,Collision with vehicle,2,Monday,131,LEFT REAR,1,89654,2,0,0,1,1,2,2,1,Cross intersection,3,060,Arterial Other
T20210000811,2021-01-04,21:11:00,4,Collision with a fixed object,2,Monday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,3,739518,1,0,1,0,0,1,1,5,Not at intersection,2,060,Arterial Other
T20210003150,2021-01-04,12:30:00,4,Collision with a fixed object,2,Monday,175,OFF END OF ROAD/T-INTERSECTION.,1,675364,1,0,0,1,0,1,2,5,Not at intersection,3,080,Local Road
T20210000322,2021-01-04,14:35:00,1,Collision with vehicle,2,Monday,130,REAR END(VEHICLES IN SAME LANE),1,729524,2,0,1,0,1,2,1,5,Not at intersection,2,050,Arterial Highway
T20210000346,2021-01-04,14:00:00,6,Vehicle overturned (no collision),1,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),1,681780,1,0,0,1,0,1,2,5,Not at intersection,3,100,
